Wallclock Time Elapsed (s),Host Cycles Executed,Host Frequency (MHz),Target Cycles Emulated,Effective Target Frequency (MHz),FMR,HW Config,Workload,Run
174.8 s,1748417486,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,6
174.8 s,1748417271,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,7
174.8 s,1748416972,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,8
174.8 s,1748418002,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,9
174.8 s,1748418022,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,10
345.3 s,3452702315,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,1
345.3 s,3452696676,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,2
345.3 s,3452703827,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,3
345.3 s,3452701684,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,4
345.3 s,3452703125,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,5
345.3 s,3452702894,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,6
345.3 s,3452704136,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,7
345.3 s,3452700132,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,8
345.3 s,3452705434,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,9
345.3 s,3452700758,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-100.json,10
0.8 s,78269235,100.001 MHz,78185837,99.894 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,1
0.8 s,78266499,100.000 MHz,78185837,99.897 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,2
0.8 s,78264848,100.000 MHz,78185837,99.899 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,3
0.8 s,78266977,100.000 MHz,78185837,99.897 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,4
0.8 s,78267223,100.000 MHz,78185837,99.896 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,5
0.8 s,78267384,100.000 MHz,78185837,99.896 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,6
0.8 s,78269568,100.000 MHz,78185837,99.893 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,7
0.8 s,78272500,100.000 MHz,78185837,99.889 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,8
0.8 s,78267588,100.000 MHz,78185837,99.896 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,9
0.8 s,78271175,100.002 MHz,78185837,99.893 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd.json,10
3.9 s,385161703,100.000 MHz,384914882,99.936 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,1
3.9 s,385159881,100.000 MHz,384914882,99.936 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,2
3.9 s,385176107,100.000 MHz,384914882,99.932 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,3
3.9 s,385158455,100.000 MHz,384914882,99.937 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,4
3.9 s,385168851,100.000 MHz,384914882,99.934 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,5
3.9 s,385162352,100.000 MHz,384914882,99.935 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,6
3.9 s,385157117,100.000 MHz,384914882,99.937 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,7
3.9 s,385166674,100.000 MHz,384914882,99.934 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,8
3.9 s,385159909,100.000 MHz,384914882,99.936 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,9
3.9 s,385162793,100.000 MHz,384914882,99.935 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-10.json,10
17.5 s,1749142276,100.000 MHz,1748155082,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,1
17.5 s,1749118935,100.000 MHz,1748155082,99.945 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,2
17.5 s,1749128491,100.000 MHz,1748155082,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,3
17.5 s,1749135463,99.999 MHz,1748155082,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,4
17.5 s,1749116720,99.999 MHz,1748155082,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,5
17.5 s,1749133229,99.999 MHz,1748155082,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,6
17.5 s,1749120164,99.999 MHz,1748155082,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,7
17.5 s,1749127497,99.999 MHz,1748155082,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,8
17.5 s,1749157183,100.000 MHz,1748155082,99.942 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,9
17.5 s,1749122916,100.000 MHz,1748155082,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-50.json,10
34.5 s,3454100701,100.000 MHz,3452205332,99.945 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,1
34.5 s,3454080707,100.000 MHz,3452205332,99.945 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,2
34.5 s,3454125103,100.000 MHz,3452205332,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,3
34.5 s,3454100841,100.000 MHz,3452205332,99.945 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,4
34.5 s,3454086296,100.000 MHz,3452205332,99.945 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,5
34.5 s,3454117824,100.000 MHz,3452205332,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,6
34.5 s,3454134606,100.000 MHz,3452205332,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,7
34.5 s,3454087860,100.000 MHz,3452205332,99.945 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,8
34.5 s,3454095851,100.000 MHz,3452205332,99.945 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,9
34.5 s,3454116041,100.000 MHz,3452205332,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_100,bare-gcd-100.json,10
0.8 s,78269351,100.000 MHz,78185837,99.893 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,1
0.8 s,78267429,100.000 MHz,78185837,99.896 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,2
0.8 s,78268962,100.000 MHz,78185837,99.894 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,3
0.8 s,78268783,100.000 MHz,78185837,99.894 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,4
0.8 s,78266847,100.000 MHz,78185837,99.897 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,5
0.8 s,78266243,100.000 MHz,78185837,99.897 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,6
0.8 s,78269075,100.000 MHz,78185837,99.894 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,7
0.8 s,78267834,100.000 MHz,78185837,99.895 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,8
0.8 s,78272275,100.000 MHz,78185837,99.890 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,9
0.8 s,78268700,100.000 MHz,78185837,99.894 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd.json,10
3.9 s,385167469,100.000 MHz,384914882,99.934 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,1
3.9 s,385170490,100.000 MHz,384914882,99.933 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,2
3.9 s,385180595,100.000 MHz,384914882,99.931 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,3
3.9 s,385171678,100.000 MHz,384914882,99.933 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,4
3.9 s,385166179,100.000 MHz,384914882,99.934 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,5
3.9 s,385168512,100.000 MHz,384914882,99.934 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,6
3.9 s,385174827,100.000 MHz,384914882,99.932 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,7
3.9 s,385181274,100.000 MHz,384914882,99.931 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,8
3.9 s,385174915,100.000 MHz,384914882,99.932 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,9
3.9 s,385169955,100.000 MHz,384914882,99.933 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-10.json,10
17.5 s,1749178436,100.000 MHz,1748155082,99.941 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,1
17.5 s,1749152441,100.000 MHz,1748155082,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,2
17.5 s,1749156939,100.000 MHz,1748155082,99.942 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,3
17.5 s,1749149024,100.000 MHz,1748155082,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,4
17.5 s,1749161061,99.999 MHz,1748155082,99.942 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,5
17.5 s,1749158762,100.000 MHz,1748155082,99.942 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,6
17.5 s,1749162416,100.000 MHz,1748155082,99.942 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,7
17.5 s,1749171641,100.000 MHz,1748155082,99.941 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,8
17.5 s,1749181557,100.000 MHz,1748155082,99.941 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,9
17.5 s,1749137128,100.000 MHz,1748155082,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-50.json,10
34.5 s,3454151645,100.000 MHz,3452205332,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,1
34.5 s,3454187236,100.000 MHz,3452205332,99.942 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,2
34.5 s,3454165048,100.000 MHz,3452205332,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,3
34.5 s,3454135831,100.000 MHz,3452205332,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,4
34.5 s,3454144576,100.000 MHz,3452205332,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,5
34.5 s,3454158083,100.000 MHz,3452205332,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,6
34.5 s,3454168985,100.000 MHz,3452205332,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,7
34.5 s,3454150446,100.000 MHz,3452205332,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,8
34.5 s,3454156352,100.000 MHz,3452205332,99.943 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,9
34.5 s,3454138146,100.000 MHz,3452205332,99.944 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_100,bare-gcd-100.json,10
