Wallclock Time Elapsed (s),Host Cycles Executed,Host Frequency (MHz),Target Cycles Emulated,Effective Target Frequency (MHz),FMR,HW Config,Workload,Run
69.1 s,3453326843,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,2
69.1 s,3453318418,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,3
69.1 s,3453303837,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,4
69.1 s,3453304745,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,5
69.1 s,3453302492,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,6
69.1 s,3453307412,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,7
69.1 s,3453316984,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,8
69.1 s,3453311044,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,9
69.1 s,3453307003,50.000 MHz,3452205332,49.984 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-100.json,10
1.6 s,78242467,50.000 MHz,78185837,49.964 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,1
1.6 s,78239746,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,2
1.6 s,78239353,50.000 MHz,78185837,49.966 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,3
1.6 s,78239660,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,4
